513,Huachog,-76.19856454,-9.87390346
514,Tambormachay,-76.68565864,-9.87387091
515,Panteon Alto,-77.77003116,-9.87385727
516,Chuquimarca,-76.54769477,-9.87358628
517,Ambar,-75.98715151,-9.87355165
518,Pichca Ragra,-77.11922077,-9.88471864
519,Yanapa,-75.9251479,-9.8847099
520,Milpo,-76.70118516,-9.88464987
521,Carancho,-75.98787518,-9.88444442
522,La Esperanza,-76.74809815,-9.8844264
523,Yuracrumi,-76.71582464,-9.88441503
524,Algayhuachan,-76.49333052,-9.86165878
525,Inca Pozo,-76.01828403,-9.86165564
526,Pacaypuco,-76.1405329,-9.86146727
527,Mina Santa Anita,-77.05276228,-9.86145265
528,Hacienda Charan,-76.8682579,-9.86131078
529,Huaycho / Huaychao,-76.11675865,-9.86128864
530,Cochas,-76.64498339,-9.87889377
531,Putaca,-76.90242728,-9.87611127
532,Cajon Ragra,-77.08551928,-9.8758949
533,Mesapata,-76.8546239,-9.87583627
534,Coto,-77.69955327,-9.87582165
535,Chuspic,-77.01875653,-9.87572228
536,Consuelo,-75.44714727,-9.87564553
537,Ancatanan,-76.58795416,-9.80783952
538,Cochatama,-76.04969901,-9.8078069
539,Verde Pozo,-75.92167639,-9.80753597
540,Jatun Ogo,-76.62799227,-9.80742702
541,Cushuro,-76.86884315,-9.80728102
542,Quishuar / Quisuar Pampa,-76.80103567,-9.80705703
543,Shunqui,-77.68629201,-9.80686502
544,Mullaca Ragra,-76.70760999,-9.810139978
545,Matahuachag,-76.58900333,-9.825755
546,Jatun Ogo,-76.68944103,-9.60544391
547,Chihuar,-77.50854765,-9.6054034
548,San Cristobal,-76.70140167,-9.60561
549,Granada,-77.7437754,-9.85899678
550,Shirihuasi,-76.55721214,-9.79074828
551,Huallijirca,-76.25788727,-9.79072153
552,San Isidro,-77.67297349,-9.791744
553,Pilco,-77.40133491,-9.86120177
554,Huani Huari,-76.22819483,-9.86105561
555,Yacujitana,-76.59281952,-9.8608749
556,Flor de Rosapampa,-76.21445503,-9.86085939
557,Agua Blanca,-75.41772394,-9.864437615
558,Tranca,-76.84846815,-9.8606834
559,Fundo Amaru,-76.2728639,-9.89971027
560,Gallo Rumi,-76.4981074,-9.89954491
561,Ayatamana,-76.22908664,-9.89943415
562,Jigaragra,-76.30969177,-9.89935228
563,Urpay,-76.35818502,-9.89934491
564,Huallanca,-76.9416436,-9.89931604
565,Rosas Pampa,-75.99927289,-9.8992724
566,Maraytaca,-76.68540702,-9.89914853
567,Pampas,-76.47389105,-9.89911223
568,Huanchu,-76.68042977,-9.89904315
569,Cocha Pitec,-76.70647315,-9.8989269
570,Conac,-76.55131027,-9.8987729
571,Cuyog,-76.76717927,-9.89871215
572,Limapampa,-76.38054103,-9.8986931
573,Matucana,-76.14604715,-9.8986374
574,Atacushma,-76.51049564,-9.89797828
575,Molino,-76.42596165,-9.89793227
576,Luciapata,-76.32296777,-9.88617027
577,Choquevado,-76.58793077,-9.88612503
578,San Pedro de Cani,-76.38627681,-9.88604125
579,Llicllatambo,-76.57644565,-9.88601324
580,Pampamarca,-76.51315677,-9.88596053
581,Shullipampa,-76.61513089,-9.88593852
582,Huinish,-76.28706833,-9.888921667
583,Muyucro,-76.64432003,-9.88540116
584,Acojirca,-77.69982839,-9.88535778
